trader_id,pnl,risk_tol
1,2421.35,0.38
2,2123.57,0.97
3,6069.89,0.77
4,4907.31,0.74
5,3688.68,0.45
6,6184.10,0.47
7,6865.92,0.93
8,5206.09,0.84
9,6220.52,0.72
10,7922.16,0.44
11,3641.73,0.43
12,9220.98,0.79
13,6965.39,0.90
14,8344.35,0.65
15,6612.75,0.56
16,6174.55,0.42
17,9135.60,0.20
18,3353.57,0.84
19,5939.15,0.36
20,6052.84,0.99
21,7328.31,0.23
22,6839.93,0.71
23,4151.60,0.52
24,6327.41,0.82
25,4942.55,0.95
26,3981.50,0.47
27,8259.21,0.91
28,9729.86,0.47
29,7068.37,0.12
30,6946.49,0.33
31,9737.26,0.11
32,5333.21,0.79
33,9614.45,0.98
34,1591.48,0.19
35,1453.59,0.65
36,5443.23,0.12
37,5120.11,0.59
38,3214.91,0.12
39,1692.72,0.80
40,9976.51,0.86
41,2480.52,0.94
42,7836.95,0.26
43,2444.76,1.00
44,4899.45,0.59
45,3610.12,0.81
46,2862.60,0.90
47,6786.59,0.22
48,5190.13,0.29
49,6247.29,0.14
50,8175.71,0.62
51,8660.60,0.40
52,3189.79,0.98
53,2466.97,0.26
54,7505.71,0.76
55,5796.30,0.65
56,6757.89,0.27
57,3768.31,0.67
58,5059.94,0.16
59,2428.47,0.57
60,3906.88,0.41
61,5221.18,0.81
62,4258.20,0.11
63,8380.42,0.60
64,7791.39,0.79
65,6945.87,0.31
66,3444.83,0.85
67,1414.65,0.52
68,4327.54,0.52
69,2260.74,0.93
70,7598.32,0.12
71,2321.70,0.93
72,1391.77,0.68
73,9012.20,0.54
74,8821.58,0.65
75,9544.13,0.12
76,6717.81,0.13
77,9077.21,0.15
78,4844.88,0.45
79,4622.64,0.37
80,9609.11,0.80
81,8082.87,0.68
82,1471.37,0.54
83,4071.05,0.82
84,9429.74,0.64
85,4804.66,0.48
86,5116.88,0.25
87,4530.85,0.58
88,3636.92,0.72
89,2099.56,0.99
90,7084.69,0.12
91,1045.82,0.30
92,2264.19,0.53
93,8649.43,0.24
94,9815.64,0.22
95,2513.51,0.80
96,6266.70,0.55
97,1849.76,0.41
98,3133.03,0.37
99,1183.89,0.77
100,3199.12,0.38
101,1539.16,0.96
102,8278.44,0.85
103,8436.98,0.78
104,3243.64,0.16
105,8546.09,0.26
106,3480.96,0.70
107,3997.20,0.90
108,4151.36,0.84
109,2936.13,0.39
110,5020.40,0.68
111,3814.18,0.37
112,3286.32,0.67
113,3198.01,0.17
114,9836.97,1.00
115,2796.82,0.89
116,3337.86,0.84
117,9923.26,0.64
118,8508.18,0.81
119,1510.54,0.12
120,9513.81,0.24
121,5713.57,0.86
122,5681.86,0.84
123,5551.21,0.83
124,6652.97,0.98
125,9718.03,0.63
126,8932.79,0.34
127,7587.34,0.96
128,4467.17,0.77
129,7181.34,0.92
130,5667.66,0.60
131,8379.33,0.34
132,2176.78,0.39
133,3923.23,0.88
134,7268.87,0.65
135,2699.78,0.34
136,2183.41,0.86
137,7288.68,0.64
138,4739.03,0.59
139,4501.70,0.76
140,3733.18,0.68
141,2303.92,0.21
142,8527.51,0.87
143,3480.26,0.14
144,2181.99,0.50
145,2177.27,0.27
146,5722.93,0.70
147,5673.83,0.96
148,3585.60,0.36
149,2246.01,0.87
150,9099.49,0.78
151,8423.24,0.74
152,2298.62,0.78
153,1465.72,0.79
154,2817.45,0.17
155,3641.22,0.46
156,3050.30,0.73
157,8622.78,0.55
158,5344.88,0.97
159,5792.53,0.69
160,5968.80,0.34
161,1423.12,0.82
162,3325.02,0.85
163,9285.88,0.59
164,8766.95,0.86
165,9350.82,0.87
166,8013.81,0.20
167,5099.99,0.59
168,5793.04,0.70
169,3842.52,0.44
170,1216.57,0.53
171,6059.29,0.15
172,7390.62,0.81
173,1508.13,0.45
174,3356.29,0.80
175,5284.02,0.21
176,1858.46,0.21
177,3727.86,0.88
178,5785.08,0.49
179,6212.67,0.91
180,9797.00,0.31
181,8722.41,0.70
182,3022.32,0.46
183,5819.89,0.31
184,6866.56,0.17
185,7752.80,0.51
186,5064.68,0.34
187,5687.46,0.17
188,1178.93,0.75
189,4880.66,0.82
190,7580.22,0.55
191,3803.52,0.13
192,2286.51,1.00
193,3393.94,0.78
194,3533.02,0.83
195,3977.05,0.57
196,3605.22,0.25
197,5504.67,0.66
198,1673.79,0.73
199,1774.73,0.78
200,9298.39,0.88
201,4812.27,0.49
202,1295.28,0.84
203,7809.73,0.44
204,7458.34,0.20
205,7494.08,0.56
206,9622.46,0.95
207,4158.38,0.50
208,3658.66,0.95
209,8488.70,0.56
210,9446.14,0.62
211,5503.33,0.93
212,7762.33,0.50
213,7412.27,0.38
214,5218.06,0.86
215,1715.28,0.94
216,2467.24,0.24
217,1073.05,0.78
218,7811.28,0.29
219,3192.96,0.99
220,3855.23,0.81
221,4911.53,0.86
222,7462.14,0.36
223,5244.22,0.67
224,3308.85,0.96
225,6561.20,0.89
226,9244.78,0.41
227,4703.92,0.76
228,4017.71,0.20
229,9517.28,0.30
230,6108.36,0.63
231,7644.55,0.65
232,5029.78,0.14
233,5599.03,0.78
234,4956.52,0.66
235,6499.53,0.54
236,9638.29,0.86
237,5498.40,0.46
238,4345.11,0.29
239,4647.15,0.72
240,8561.47,0.26
241,1134.10,0.51
242,1724.99,0.23
243,7215.53,0.89
244,6745.52,0.47
245,9444.96,0.50
246,2722.69,0.62
247,7389.88,0.95
248,3721.79,0.68
249,5878.96,0.45
250,5652.65,0.44
251,1187.31,0.51
252,9405.24,0.81
253,2941.63,0.55
254,1884.57,0.29
255,4489.64,0.65
256,5683.42,0.78
257,9162.91,0.11
258,3915.26,0.97
259,2346.27,0.63
260,2532.13,0.98
261,2281.67,0.70
262,9644.89,0.37
263,7981.50,0.11
264,6334.10,0.71
265,5808.85,0.44
266,4058.76,0.88
267,8379.35,0.84
268,2521.85,0.77
269,1686.65,0.12
270,5954.08,0.22
271,6623.40,0.78
272,8133.80,0.51
273,8355.12,0.61
274,8318.36,0.81
275,5254.85,0.62
276,7117.43,0.70
277,9590.82,0.33
278,7396.70,0.42
279,8032.00,0.71
280,7781.96,0.88
281,2607.88,0.23
282,1818.81,0.58
283,8269.50,0.19
284,1149.40,0.82
285,4238.02,0.45
286,1754.21,0.34
287,4242.39,0.42
288,9584.59,0.99
289,2946.59,0.15
290,4566.62,0.92
291,1647.42,0.68
292,5001.80,0.73
293,6228.79,0.50
294,8635.58,0.63
295,9008.90,0.71
296,8136.72,0.98
297,2301.99,0.80
298,6634.20,0.43
299,2563.96,0.37
300,8144.52,0.87
301,9967.13,0.15
302,4009.25,0.13
303,2653.44,0.92
304,6932.24,0.71
305,6288.35,0.88
306,6379.53,0.38
307,1570.89,0.84
308,9224.28,0.13
309,9617.80,0.17
310,5253.01,0.22
311,3059.51,0.66
312,3417.96,0.95
313,5461.33,0.66
314,2832.05,0.54
315,8512.22,0.72
316,4697.18,0.85
317,6149.11,0.22
318,1912.17,0.41
319,2682.25,0.86
320,3969.51,0.82
321,3093.98,0.18
322,9240.87,0.75
323,8197.47,0.37
324,6928.71,0.40
325,2453.03,0.70
326,7986.84,0.44
327,1212.86,0.60
328,5992.97,0.18
329,2438.10,0.78
330,3362.78,0.90
331,4839.52,0.75
332,7400.15,0.18
333,1276.68,0.11
334,1049.58,0.33
335,7821.97,0.61
336,7785.67,0.71
337,8555.37,0.29
338,5338.73,0.27
339,6157.28,0.91
340,1135.77,0.10
341,5696.27,0.66
342,1695.81,0.13
343,4454.20,0.89
344,2749.11,0.88
345,4277.35,0.16
346,6723.44,0.32
347,5105.24,0.86
348,9413.36,0.83
349,9799.99,0.35
350,6238.22,0.88
351,3927.35,0.42
352,9767.69,0.37
353,1369.11,0.81
354,2712.46,0.48
355,5098.14,0.54
356,7307.24,0.83
357,2299.42,0.43
358,6837.32,0.13
359,5596.84,0.28
360,3053.66,0.61
361,9822.54,0.48
362,4891.35,0.31
363,8185.86,0.81
364,5384.91,0.37
365,5234.75,0.28
366,4917.04,0.29
367,3152.38,0.87
368,1667.59,0.83
369,9541.57,0.57
370,5044.72,0.38
371,9699.40,0.48
372,6399.45,0.71
373,3453.51,0.93
374,4266.53,0.73
375,1162.13,0.63
376,7191.66,0.53
377,1223.39,0.29
378,1458.50,0.22
379,5082.09,0.36
380,5821.52,0.95
381,5285.26,0.97
382,9844.66,0.75
383,1467.80,0.26
384,5880.15,0.94
385,5728.34,0.34
386,5978.09,0.87
387,4820.45,0.72
388,7352.14,0.43
389,6580.67,0.45
390,4172.43,0.20
391,5743.86,0.29
392,8038.86,0.24
393,3428.26,0.65
394,8547.93,0.22
395,5676.07,0.65
396,5695.77,0.19
397,1016.04,0.77
398,6256.04,0.68
399,7476.40,0.10
400,4968.93,0.85
401,9451.12,0.36
402,1978.33,0.37
403,6664.58,0.91
404,3752.99,0.23
405,1353.58,0.14
406,8268.12,0.48
407,6644.24,0.41
408,7535.68,0.80
409,1744.68,0.84
410,7236.64,0.51
411,9460.26,0.35
412,3107.05,0.70
413,9023.36,0.56
414,4691.63,0.66
415,8022.48,0.23
416,7629.01,0.77
417,4435.04,0.42
418,1784.89,0.56
419,4071.09,0.34
420,3298.62,0.13
421,3451.16,0.47
422,4980.87,0.64
423,1818.00,0.70
424,5195.92,0.97
425,8160.81,0.46
426,3905.14,0.56
427,2479.85,0.37
428,7595.64,0.54
429,2736.73,0.57
430,3563.65,0.65
431,3362.25,0.74
432,2178.17,0.30
433,7995.66,0.69
434,9610.32,0.31
435,2161.65,0.76
436,9150.90,0.25
437,8057.13,0.71
438,1137.11,0.62
439,6323.30,0.20
440,4422.20,0.37
441,8693.87,0.92
442,5490.14,0.53
443,3330.78,0.42
444,1648.57,0.46
445,8665.88,0.28
446,8472.27,0.50
447,9487.85,0.85
448,1569.74,0.41
449,5609.98,0.28
450,1322.69,0.68
451,2383.10,0.47
452,2795.04,0.65
453,9203.31,0.46
454,5330.77,0.57
455,2067.41,1.00
456,5827.74,0.26
457,6359.99,0.39
458,6733.39,0.37
459,3321.55,0.89
460,7212.43,0.70
461,3399.12,0.90
462,5167.47,0.92
463,9529.05,0.76
464,1044.59,0.52
465,2089.37,0.23
466,3999.20,0.75
467,1167.63,0.12
468,5621.08,0.82
469,3423.73,0.22
470,8526.17,0.88
471,7655.81,0.63
472,3648.42,0.19
473,3280.14,0.79
474,2049.41,0.47
475,3252.60,0.66
476,5128.75,0.41
477,3232.16,0.86
478,2341.75,0.27
479,9031.41,0.58
480,2427.94,0.85
481,5995.25,0.55
482,7319.24,0.44
483,2363.92,0.94
484,8412.93,0.81
485,2168.17,0.34
486,3978.18,0.90
487,4426.74,0.77
488,9540.57,0.64
489,2279.65,0.27
490,7981.87,0.68
491,8676.98,0.13
492,3622.67,0.82
493,3725.89,0.45
494,8924.90,0.27
495,2321.68,0.12
496,5696.20,0.46
497,5947.43,0.78
498,1409.14,0.38
499,3921.59,0.86
500,5242.17,0.95
